concentration_uM,pH,temperature_C,inhibitor_type,inhibition_percent
27.757,7.17,30.5,A,100.0
17.453,6.73,31.0,B,97.5
10.439,6.99,36.3,B,91.07
17.748,7.8,28.6,A,92.86
0.733,7.46,26.2,A,10.42
28.759,6.92,28.2,C,97.12
14.495,6.79,31.8,A,90.36
23.493,7.21,23.7,B,96.3
2.528,6.71,32.5,B,42.0
14.625,6.93,27.8,A,88.53
14.747,7.32,34.6,A,97.17
28.138,7.66,20.4,A,90.76
17.173,7.44,26.9,C,85.04
14.231,6.28,23.3,A,78.35
8.046,7.32,26.7,A,63.99
9.98,7.23,31.0,A,79.48
15.644,7.37,29.3,A,92.23
13.195,7.85,29.0,B,87.82
0.697,6.37,29.4,A,13.48
24.797,6.96,30.8,B,100.0
26.89,7.44,26.0,B,100.0
4.25,6.57,32.8,C,51.22
16.643,7.79,32.7,A,91.31
3.302,7.35,31.5,C,37.85
20.184,7.54,32.2,B,100.0
8.473,6.97,31.2,A,66.33
19.8,7.53,38.1,B,100.0
21.823,7.63,29.7,C,79.43
23.071,7.29,28.8,A,91.59
3.277,7.29,27.0,C,35.18
27.485,7.31,25.9,B,100.0
6.945,6.85,25.0,B,62.47
1.171,7.14,26.4,C,10.75
16.668,7.14,29.7,A,96.34
11.159,7.35,31.3,C,77.43
24.902,7.6,30.2,A,100.0
24.257,6.78,26.9,B,100.0
9.548,7.15,33.6,B,87.46
28.589,7.79,33.0,A,100.0
8.763,6.9,29.4,A,74.56
15.476,6.87,27.4,A,84.88
7.716,7.28,32.2,A,72.07
28.085,7.54,30.8,A,100.0
4.98,7.2,24.2,A,44.04
1.395,7.73,29.7,A,18.13
13.081,7.54,31.0,A,83.41
29.772,7.54,26.4,B,100.0
26.756,7.42,30.8,B,100.0
22.471,8.13,24.2,B,85.24
26.729,7.12,35.3,A,100.0
26.809,6.4,35.0,C,99.82
15.59,7.84,29.0,B,91.25
9.512,7.02,31.5,A,76.15
23.172,7.24,20.4,A,82.83
19.867,7.72,25.4,B,94.85
11.241,6.56,28.8,A,78.55
2.879,6.7,25.7,B,33.29
22.416,6.56,32.9,C,97.12
7.911,6.88,38.0,A,80.35
28.108,7.38,25.3,A,90.34
7.267,7.41,26.7,C,60.1
3.727,7.31,30.9,B,53.38
24.942,6.63,36.4,A,100.0
4.641,6.28,25.1,C,40.95
5.419,7.22,31.0,C,50.91
18.002,7.01,37.3,B,100.0
26.243,7.38,23.4,B,95.53
5.933,7.48,24.9,A,52.15
9.344,7.26,28.3,A,77.2
